Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Amy Vance,-72,lifters-view?id=32112,39.,Amy Vance,1976,,IN,67.84,127.5,135,142.5,67.5,72.5,-80,142.5,152.5,157.5,372.5,378.83,
Cynthia Line,-72,lifters-view?id=23786,7.,Cynthia Line,1968,,PA,69.16,120,130,135,70,75,77.5,142.5,152.5,157.5,370,371.18,
Andrea Richards,-72,lifters-view?id=37065,8.,Andrea Richards,1971,,IA,69.43,122.5,127.5,135,-80,82.5,85,140,145,-147.5,365,365.18,
Amy Noraka,-72,lifters-view?id=15779,58.,Amy Noraka,1976,,CO,68.34,115,125,130,75,80,82.5,127.5,135,-140,347.5,351.57,
Jennifer Kroken,-72,lifters-view?id=4171,63.,Jennifer Kroken,1974,,TX,71.42,110,117.5,122.5,67.5,70,72.5,115,120,127.5,322.5,316.47,
KRISTA DORNBUSH,-72,lifters-view?id=31826,-,KRISTA DORNBUSH,1969,,CA,70.14,-130,-130,-130,65,72.5,-75,140,150,-160,0,0.00,
Alicia Webb,-84,lifters-view?id=558,3.,Alicia Webb,1971,,GA,83.73,177.5,187.5,195,105,110,112.5,177.5,187.5,197.5,505,451.07,
April Grey,-84,lifters-view?id=30449,12.,April Grey,1977,,CT,83.47,157.5,-170,-170,87.5,92.5,-95,170,182.5,-185,432.5,386.91,
Lorin Blake,-84,lifters-view?id=23836,24.,Lorin Blake,1975,,NY,77.74,150,-155,-155,72.5,-75,75,162.5,-170,-170,387.5,360.41,
Donna Adams,-84,lifters-view?id=21829,31.,Donna Adams,1972,,MN,82.48,127.5,132.5,-142.5,70,75,77.5,147.5,155,-162.5,365,328.54,X
Melissa Copeland,84+,lifters-view?id=4173,9.,Melissa Copeland,1977,,MD,92.83,175,180,-185,100,-105,-105,185,190,-200,470,401.15,
Jodey Reisz,84+,lifters-view?id=29534,2.,Jodey Reisz,1975,,IN,126.14,137.5,145,150,115,-121.5,-121.5,175,185,190,455,360.63,
Chris Colbert,84+,lifters-view?id=12526,17.,Chris Colbert,1969,,NH,104.96,160,172.5,182.5,90,92.5,95,155,167.5,-177.5,445,365.70,X
Trina Pinkney,84+,lifters-view?id=29571,18.,Trina Pinkney,1973,,GA,111.59,-137.5,137.5,147.5,80,87.5,-92.5,182.5,-192.5,202.5,437.5,354.68,
Lilyan Jackson,84+,lifters-view?id=37011,5.,Lilyan Jackson,1970,,TX,168.60,-152.5,152.5,-162.5,97.5,102.5,-115,147.5,170,182.5,437.5,336.48,
Cindy Tilton,84+,lifters-view?id=4348,23.,Cindy Tilton,1969,,NH,110.54,145,-152.5,155,107.5,112.5,-115,-152.5,152.5,-162.5,420,341.12,
Melinda Fischl,84+,lifters-view?id=6131,7.,Melinda Fischl,1971,,FL,97.12,130,137.5,142.5,77.5,82.5,-90,137.5,145,160,385,323.44,
Shyami Murphy,-47,lifters-view?id=2072,1.,Shyami Murphy,1966,,MD,46.63,95,100,102.5,40,42.5,45,100,110,115,262.5,355.06,
Chiaki Takada,-47,lifters-view?id=34229,2.,Chiaki Takada,1965,,NJ,45.92,75,80,82.5,48,-53,-53,112.5,120,-132.5,250.5,342.53,X
Melissa Forbis,-52,lifters-view?id=23135,23.,Melissa Forbis,1966,,NY,51.17,92.5,-102.5,-102.5,50,55,-60,110,120,-127.5,267.5,337.64,
Janice Woerner,-52,lifters-view?id=23693,2.,Janice Woerner,1958,,NY,50.47,77.5,82.5,-87.5,57.5,62.5,65,97.5,102.5,107.5,255,325.25,
Bonnie Douthitt,-52,lifters-view?id=29521,3.,Bonnie Douthitt,1964,,IN,51.15,67.5,70,-72.5,45,-47.5,-47.5,115,122.5,125,240,303.02,
Antoinette  Kemper,-57,lifters-view?id=7377,1.,Antoinette  Kemper,1964,,CO,55.53,115,120,-124,65,70,-72.5,125,135,-142.5,325,384.93,
Lynne Homan,-57,lifters-view?id=416,2.,Lynne Homan,1962,,TX,56.70,80,85,90,60,65,-67.5,115,125,-130,280,326.26,
Kitt Foster,-57,lifters-view?id=38044,3.,Kitt Foster,1966,,SC,52.71,85,90,92.5,57.5,60,-62.5,115,122.5,-127.5,275,339.24,
Rhonda Jones,-57,lifters-view?id=6241,4.,Rhonda Jones,1964,,NM,55.87,75,80,-85,40,42.5,-45,117.5,125,132.5,255,300.59,
Kimberly Creighton,-57,lifters-view?id=17088,5.,Kimberly Creighton,1964,,FL,55.51,82.5,87.5,92.5,50,52.5,-55,102.5,107.5,-112.5,252.5,299.14,
Cathy Mele,-63,lifters-view?id=2075,1.,Cathy Mele,1966,GATA Barbell,GA,62.44,100,105,107.5,60,65,-70,155,167.5,-170,340,367.64,
Tina Dunphy,-63,lifters-view?id=39439,2.,Tina Dunphy,1966,Optimal Performance,PA,61.53,125,130,132.5,62.5,65,-67.5,125,132.5,-142.5,330,360.86,
