Comp ID,Date,Name,Sanction #,State,Results,Homepage
competitions-view?id=534,01/01/2013,2013 USAPL Southeastern USA Regional Championships,,,,
competitions-view?id=537,01/01/2013,2013 USAPL Southern Raw Championships,,,,
competitions-view?id=538,01/01/2013,Longhorn Open Powerlifting Championships,,,,
competitions-view?id=546,01/01/2013,2013 VA State Champs,,,,
competitions-view?id=547,01/01/2013,2013 Pan Am Games,,,,
competitions-view?id=657,01/01/2013,JV-GIRLS,,,,
competitions-view?id=437,01/01/2013,2013 Pan Am Games,,,,
competitions-view?id=438,01/01/2013,Capital City Clash Championships,,,,
competitions-view?id=439,01/01/2013,2013 Iowa Powerlifting State Meet,,,,
competitions-view?id=440,01/01/2013,USAPL-CL-HS-NE Regional Winter Open,,,,
competitions-view?id=441,01/01/2013,MN STATE - 9 Feb,,,,
competitions-view?id=442,01/01/2013,Army Navy Open,,,,
competitions-view?id=443,01/01/2013,La Tech USAPL Powerlifting Meet - 8 Feb,,,,
competitions-view?id=450,01/01/2013,WHSPA Boys St Mt,,,,
competitions-view?id=451,01/01/2013,2013 Winter Classic,,,,
competitions-view?id=456,01/01/2013,Aggie Showdown - 2/23/13,,,,
competitions-view?id=459,01/01/2013,2013 USAPL Aggie Gym Meet,,,,
competitions-view?id=460,01/01/2013,2013 MO ST/OZARK - 3/23/2013,,,,
competitions-view?id=468,01/01/2013,2013 WA State Powerlifting Championships - 2/23&24/13,,,,
competitions-view?id=474,01/01/2013,2013 USAPL Texas State Championships - 20 Apr,,,,
competitions-view?id=478,01/01/2013,Nebraska State Championship-4/27/13,,,,
competitions-view?id=480,01/01/2013,Equinox Open - 4/20/13,,,,
competitions-view?id=483,01/01/2013,13.00,,,,
competitions-view?id=486,01/01/2013,BROTHER BENNETT MEMORIAL  - 2/23/2011,,,,
competitions-view?id=487,01/01/2013,2013 Authentic Strength BBQ - 4/27/13,,,,
competitions-view?id=488,01/01/2013,PA Single Lift State BP/DL Championships - 5/18/13,,,,
competitions-view?id=490,01/01/2013,IDAHO SPRING CLASSIC RAW POWERLIFTING CHAMPIONSHIPS-5/25/13,,,,
competitions-view?id=491,01/01/2013,OK Athletic Republic Open - 6/12/13,,,,
competitions-view?id=493,01/01/2013,4th Annual Push/Pull Meet - 5/25/13,,,,
competitions-view?id=494,01/01/2013,2013 Mens Teen & Jr Nationals - 6/21/13,,,,
competitions-view?id=496,01/01/2013,,,,,
competitions-view?id=498,01/01/2013,2013 USAPL Summer Power Fest - 7/13/2013,,,,
competitions-view?id=501,01/01/2013,USAPL N.C. State Champs - 6/8/13,,,,
