Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Melinda Fischl,84+,lifters-view?id=6131,5.,Melinda Fischl,1971,,FL,94.34,125,-135,137.5,67.5,72.5,-77.5,162.5,167.5,-177.5,377.5,320.31,
Rebecca Meister,84+,lifters-view?id=27702,6.,Rebecca Meister,1976,Team Phoinix Powerlifting,WA,93.94,125,137.5,-142.5,75,77.5,80,150,155,-172.5,372.5,316.55,
TRICIA OLDSEN,84+,lifters-view?id=28490,7.,TRICIA OLDSEN,1971,,IA,102.18,90,92.5,100,67.5,-70,70,132.5,137.5,142.5,312.5,258.59,
Shyami Murphy,-47,lifters-view?id=2072,1.,Shyami Murphy,1966,,MD,46.16,92.5,-97.5,-97.5,40,42.5,-45,100,105,110,245,333.79,
Melissa Forbis,-52,lifters-view?id=23135,1.,Melissa Forbis,1966,,NY,50.86,92.5,-100,102.5,52.5,57.5,60,105,115,122.5,285,361.41,
Bonnie Douthitt,-52,lifters-view?id=29521,2.,Bonnie Douthitt,1964,Hoosier Peaches,IN,50.70,65,72.5,77.5,47.5,50,-52.5,110,117.5,122.5,250,317.78,
Annette Rattunde,-52,lifters-view?id=24940,3.,Annette Rattunde,1966,,WI,50.05,82.5,87.5,92.5,42.5,47.5,50,87.5,95,-100,237.5,304.88,
Cindy Goodrich,-52,lifters-view?id=2104,4.,Cindy Goodrich,1957,Team Phoinix Powerlifting,WA,49.86,57.5,65,67.5,52.5,-55,-55,92.5,105,-115,225,289.67,
Janice Woerner,-52,lifters-view?id=23693,5.,Janice Woerner,1958,,NY,50.40,-77.5,77.5,,55,60,-62.5,52.5,,,190,242.61,
Antoinette  Kemper,-57,lifters-view?id=7377,1.,Antoinette  Kemper,1964,,CO,55.64,112.5,-117.5,117.5,70,75,-77.5,125,130,-150,322.5,381.39,
Lynne Homan,-57,lifters-view?id=416,34.,Lynne Homan,1962,Bell Power Systems,TX,55.13,87.5,90,-92.5,62.5,65,-67.5,125,130,135,290,345.42,
Anna Anton,-57,lifters-view?id=6809,3.,Anna Anton,1963,,GA,55.67,85,87.5,-90,60,62.5,,105,-107.5,,255,301.44,
